Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/CodeSystem-HIVVMMCTypeOfAdverseEventsCS.json	1752	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	21	31	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-HIVViralHepatitisTestResultCS.json	784	5	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	17	29	0	0	0	0	1	0	0
fsh-generated/resources/Questionnaire-FollowUpQuestionnaire.json	3479	5	0	0	0	0	0	0	0	137	0	0	0	0	0	0	0	0	0	0	38	190	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-InitialCaseReportQuestionnaire.json	1615	5	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	37	23	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-VisitQuestionnaire.json	43110	10	0	0	0	0	0	0	5	79	0	0	0	0	0	0	0	0	0	0	336	1354	0	0	0	0	19	0	0
fsh-generated/resources/StructureDefinition-FollowUp.json	2392	6	0	9	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	38	193	0	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-HIVCaseSurveillance.json	7349	6	0	41	0	0	0	0	0	19	0	0	0	0	0	0	0	1	0	0	71	254	0	0	0	0	4	0	1
fsh-generated/resources/StructureDefinition-HIVPrevention.json	6694	6	0	51	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	68	160	0	0	0	0	5	0	1
fsh-generated/resources/StructureDefinition-InitialCaseReport.json	3038	5	0	44	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	40	91	0	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-Visit.json	49489	12	0	102	0	0	0	0	0	70	0	0	1	0	0	0	0	1	0	0	397	530	0	0	0	0	30	1	0
fsh-generated/resources/ValueSet-GENCountriesVS.json	657	3	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	30	423	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVANCHIVStatusFirstVisitVS.json	726	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	29	73	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVARTStopReasonsVS.json	684	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	27	72	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVCervicalCancerDiagnosisVS.json	729	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	65	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVCervicalCancerScreeningOutcomeVS.json	765	5	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	28	50	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVCervicalCancerTreatmentTypeVS.json	751	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	31	128	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVDSDARTModelSVS.json	676	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	28	59	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVExperienceVS.json	662	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	27	54	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVFacilityLevelTestingEntryPointVS.json	766	2	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	17	65	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVFollowUpMethodsVS.json	689	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	55	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVFollowUpOutcomesVS.json	694	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	48	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVGenderVS.json	642	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	62	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVHBVTreatmentStatusVS.json	704	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	39	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVHCVMedicineTypeVS.json	689	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	45	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-HIVHCVTestTypeVS.json	669	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	15	39	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVHCVTreatmentStatusVS.json	704	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	16	48	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVHCVViralLoadVS.json	674	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	65	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVHIVTestHIVSelfTestUseVS.json	725	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	46	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVHIVTestResultVS.json	679	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	43	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVHPVDosesReceivedVS.json	694	5	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	16	43	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVListStisVS.json	653	5	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	16	41	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVOAMTFormulationVS.json	688	4	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	61	0	0	0	0	3	0	0
fsh-generated/resources/ValueSet-HIVPEPExposureVS.json	668	3	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	16	39	0	0	1	0	1	0	0
fsh-generated/resources/ValueSet-HIVPEPNonOccupationalVS.json	704	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	19	35	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVPEPTypeOfVisitVS.json	686	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	42	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVPMTCTTestTypeVS.json	679	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	68	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVPartnerHIVStatusVS.json	694	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	65	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVPlaceOfDeliveryVS.json	689	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	17	63	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVPrepAdverseEffectVS.json	699	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	27	42	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVPrepDosingTypeVS.json	684	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	39	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVPrepFormulationVS.json	688	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	20	48	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVPrepReasonDiscontinuationVS.json	739	3	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	15	39	0	0	0	0	16	0	0
fsh-generated/resources/ValueSet-HIVProbableRouteOfTransmissionVS.json	750	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	17	44	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-HIVReasonForFollowUpVS.json	700	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	42	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVSTATUSVS.json	642	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	43	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVSTISyndromeAssignedVS.json	709	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	58	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVSexAtBirthVS.json	664	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	15	38	0	0	0	0	2	0	0
fsh-generated/resources/ValueSet-HIVTBDiagnosticTestCategoryVS.json	735	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	16	53	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVTBTestResultVS.json	674	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	37	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVTPTPreventiveTreatmentVS.json	724	3	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	18	47	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVTPTRegimenVS.json	663	3	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	16	49	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVTestProvisionVS.json	678	3	0	0	0	0	0	0	1	11	0	0	0	0	0	0	0	0	0	0	15	40	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVTestResultVS.json	663	2	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	39	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVTestTBStatusVS.json	675	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	17	67	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVTreatmentTreatmentStatusVS.json	735	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	61	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVTypeOfCommunityLevelTestingVS.json	751	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	17	50	0	0	0	0	3	0	0
fsh-generated/resources/ValueSet-HIVTypeOfCondomsVS.json	679	3	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	16	49	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVVMMCSeverityOfAdverseEventsVS.json	752	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	19	48	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVVMMCTimingOfAdverseEventsVS.json	742	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	16	36	0	0	0	0	0	0	0
fsh-generated/resources/ValueSet-HIVVMMCTypeOfAdverseEventsVS.json	732	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	17	67	0	0	0	0	1	0	0
fsh-generated/resources/ValueSet-HIVViralHepatitisTestResultVS.json	735	3	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	19	46	0	0	0	0	0	0	0
