"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"Visit","Visit.exchangedSexForMoneyOrGoods","Visit.exchangedSexForMoneyOrGoods","","","",0,1,"","","","boolean {[]} {[]}
","HIV - RA: Exchanged sex for money or goods during the past 12 months","HIV - RA: Exchanged sex for money or goods during the past 12 months","","","","","","","","","",,,,,"",,,,"Visit.exchangedSexForMoneyOrGoods",0,1,"",""
"Visit","Visit.hadInjectDrugs","Visit.hadInjectDrugs","","","",0,1,"","","","boolean {[]} {[]}
","HIV - RA: Had inject drugs during the past 12 months","HIV - RA: Had inject drugs during the past 12 months","","","","","","","","","",,,,,"",,,,"Visit.hadInjectDrugs",0,1,"",""
"Visit","Visit.hadSexWithAMan","Visit.hadSexWithAMan","","","",0,1,"","","","boolean {[]} {[]}
","HIV - RA: Had sex with a man during the past 12 months","HIV - RA: Had sex with a man during the past 12 months","","","","","","","","","",,,,,"",,,,"Visit.hadSexWithAMan",0,1,"",""
"Visit","Visit.condomsReceived","Visit.condomsReceived","","","",0,1,"","","","boolean {[]} {[]}
","HIV - Condoms: received","HIV - Condoms: received","","","","","","","","","",,,,,"",,,,"Visit.condomsReceived",0,1,"",""
"Visit","Visit.condomsType","Visit.condomsType","","","",0,1,"","","","code {[]} {[]}
","HIV - Condoms: type","HIV - Condoms: type","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVTypeOfCondomsVS","",,,,"Visit.condomsType",0,1,"",""
"Visit","Visit.condomsQuantityMaleCondoms","Visit.condomsQuantityMaleCondoms","","","",0,1,"","","","unsignedInt {[]} {[]}
","HIV - Condoms: quantity - male condoms","HIV - Condoms: quantity - male condoms","","","","","","","","","",,,,,"",,,,"Visit.condomsQuantityMaleCondoms",0,1,"",""
"Visit","Visit.condomsQuantityFemaleCondoms","Visit.condomsQuantityFemaleCondoms","","","",0,1,"","","","unsignedInt {[]} {[]}
","HIV - Condoms: quantity - female condoms","HIV - Condoms: quantity - female condoms","","","","","","","","","",,,,,"",,,,"Visit.condomsQuantityFemaleCondoms",0,1,"",""
"Visit","Visit.hivTestTestingEntryPoint","Visit.hivTestTestingEntryPoint","","","",0,1,"","","","code {[]} {[]}
","HIV - HIV test: Testing entry point","HIV - HIV test: Testing entry point","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVTestProvisionVS","",,,,"Visit.hivTestTestingEntryPoint",0,1,"",""
"Visit","Visit.hivTestTbStatus","Visit.hivTestTbStatus","","","",0,1,"","","","code {[]} {[]}
","HIV - HIV test: TB status","HIV - HIV test: TB status","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVTestTBStatusVS","",,,,"Visit.hivTestTbStatus",0,1,"",""
"Visit","Visit.hivTestClientReferredThroughPartnerService","Visit.hivTestClientReferredThroughPartnerService","","","",0,1,"","","","boolean {[]} {[]}
","HIV - HIV test: Client referred through partner service","HIV - HIV test: Client referred through partner service","","","","","","","","","",,,,,"",,,,"Visit.hivTestClientReferredThroughPartnerService",0,1,"",""
"Visit","Visit.hivTestPartnerHivStatus","Visit.hivTestPartnerHivStatus","","","",0,1,"","","","code {[]} {[]}
","HIV - HIV test: Partner HIV status","HIV - HIV test: Partner HIV status","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVPartnerHIVStatusVS","",,,,"Visit.hivTestPartnerHivStatus",0,1,"",""
"Visit","Visit.hivTestTestAdministered","Visit.hivTestTestAdministered","","","",0,1,"","","","boolean {[]} {[]}
","HIV - HIV test: Test administered","HIV - HIV test: Test administered","","","","","","","","","",,,,,"",,,,"Visit.hivTestTestAdministered",0,1,"",""
"Visit","Visit.hivTestTestDate","Visit.hivTestTestDate","","","",0,1,"","","","date {[]} {[]}
","HIV - HIV test: Test date","HIV - HIV test: Test date","","","","","","","","","",,,,,"",,,,"Visit.hivTestTestDate",0,1,"",""
"Visit","Visit.hivTestDateOfLastHivTest","Visit.hivTestDateOfLastHivTest","","","",0,1,"","","","date {[]} {[]}
","HIV - HIV test: Date of last HIV test","HIV - HIV test: Date of last HIV test","","","","","","","","","",,,,,"",,,,"Visit.hivTestDateOfLastHivTest",0,1,"",""
"Visit","Visit.hivTestTestResult","Visit.hivTestTestResult","","","",0,1,"","","","code {[]} {[]}
","HIV - HIV test: Test result","HIV - HIV test: Test result","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVHIVTestResultVS","",,,,"Visit.hivTestTestResult",0,1,"",""
"Visit","Visit.hivTestPreviouslyOnArv","Visit.hivTestPreviouslyOnArv","","","",0,1,"","","","boolean {[]} {[]}
","HIV - HIV test: Client report previous use of antiretrovirals for treatment?","HIV - HIV test: Client report previous use of antiretrovirals for treatment?","","","","","","","","","",,,,,"",,,,"Visit.hivTestPreviouslyOnArv",0,1,"",""
"Visit","Visit.hivTestHivSelfTestDistributed","Visit.hivTestHivSelfTestDistributed","","","",0,1,"","","","boolean {[]} {[]}
","HIV - HIV test: HIV Self-test distributed","HIV - HIV test: HIV Self-test distributed","","","","","","","","","",,,,,"",,,,"Visit.hivTestHivSelfTestDistributed",0,1,"",""
"Visit","Visit.hivTestHivSelfTestQuantity","Visit.hivTestHivSelfTestQuantity","","","",0,1,"","","","unsignedInt {[]} {[]}
","HIV - HIV test: HIV self-test - Quantity","HIV - HIV test: HIV self-test - Quantity","","","","","","","","","",,,,,"",,,,"Visit.hivTestHivSelfTestQuantity",0,1,"",""
"Visit","Visit.hivTestHivSelfTestUse","Visit.hivTestHivSelfTestUse","","","",0,1,"","","","code {[]} {[]}
","HIV - HIV test: HIV self-test - Use","HIV - HIV test: HIV self-test - Use","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVHIVTestHIVSelfTestUseVS","",,,,"Visit.hivTestHivSelfTestUse",0,1,"",""
"Visit","Visit.prepCurrentlyOnPrep","Visit.prepCurrentlyOnPrep","","","",0,1,"","","","boolean {[]} {[]}
","HIV - PrEP: Currently on PrEP","HIV - PrEP: Currently on PrEP","","","","","","","","","",,,,,"",,,,"Visit.prepCurrentlyOnPrep",0,1,"",""
"Visit","Visit.prepPrepHasBeenRequestedByTheClient","Visit.prepPrepHasBeenRequestedByTheClient","","","",0,1,"","","","boolean {[]} {[]}
","HIV - PrEP: PrEP has been requested by the client","HIV - PrEP: PrEP has been requested by the client","","","","","","","","","",,,,,"",,,,"Visit.prepPrepHasBeenRequestedByTheClient",0,1,"",""
"Visit","Visit.prepExperienceWithPrep","Visit.prepExperienceWithPrep","","","",0,1,"","","","code {[]} {[]}
","HIV - PrEP: Experience with PrEP","HIV - PrEP: Experience with PrEP","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVExperienceVS","",,,,"Visit.prepExperienceWithPrep",0,1,"",""
"Visit","Visit.prepSpecifyOtherExperienceWithPrep","Visit.prepSpecifyOtherExperienceWithPrep","","","",0,1,"","","","string {[]} {[]}
","HIV - PrEP: Specify other experience with PrEP","HIV - PrEP: Specify other experience with PrEP","","","","","","","","","",,,,,"",,,,"Visit.prepSpecifyOtherExperienceWithPrep",0,1,"",""
"Visit","Visit.prepReasonForDiscontinuationInterruption","Visit.prepReasonForDiscontinuationInterruption","","","",0,1,"","","","code {[]} {[]}
","HIV - PrEP: Reason for discontinuation/interruption","HIV - PrEP: Reason for discontinuation/interruption","","","","","","","","","",,"required","","http://example.org/ValueSet/HIVPrepReasonDiscontinuationVS","",,,,"Visit.prepReasonForDiscontinuationInterruption",0,1,"",""
